TIMESTAMP,MUX0,MUX1,MUX2,MUX3,MUX4,MUX5,MUX6,MUX7
1572784183,759,797,793,790,14,13,13,13
1572784184,758,799,792,785,13,12,12,14
1572784185,761,798,794,789,12,13,14,14
1572784186,759,788,786,788,14,14,15,14
1572784187,762,799,789,790,15,14,12,13
1572784189,763,793,788,788,14,12,13,12
1572784190,752,789,788,788,12,13,14,14
1572784191,763,797,792,788,14,15,15,14
1572784192,761,789,788,789,14,14,15,14
1572784193,751,795,790,787,14,12,12,13
1572784194,758,794,784,785,15,12,13,12
1572784195,751,797,785,788,13,13,14,15
1572784196,761,795,790,787,13,13,12,13
1572784197,765,797,786,788,12,12,13,12
1572784198,764,801,787,789,12,13,13,15
1572784199,753,794,789,787,14,14,14,15
1572784201,762,793,790,788,15,14,13,13
1572784202,760,793,790,789,13,13,13,13
1572784203,759,787,788,789,12,13,13,13
1572784204,758,794,790,789,12,13,14,14
1572784205,752,788,790,788,15,15,14,14
1572784206,758,798,790,785,15,14,15,16
1572784207,757,789,788,787,12,13,12,13
1572784208,753,789,785,787,13,12,13,13
1572784209,763,794,790,785,15,14,14,14
1572784210,760,796,785,787,13,13,12,13
1572784211,756,788,787,789,13,13,14,14
1572784212,758,789,790,789,13,12,12,13
1572784213,761,789,793,789,15,14,14,15
1572784214,756,787,787,788,15,15,14,12
1572784216,764,800,793,790,13,14,14,14
1572784217,751,793,790,789,14,14,15,15
1572784218,759,797,789,787,16,15,13,13
1572784219,761,795,790,788,14,12,12,12
1572784220,762,794,792,788,14,13,12,13
1572784221,752,793,786,789,13,13,13,14
1572784222,761,788,789,788,14,14,15,15
1572784223,754,797,786,787,13,13,13,14
1572784224,758,788,792,788,13,13,13,14
1572784225,757,790,787,789,15,14,14,15
1572784226,753,793,793,788,15,14,14,14
1572784227,758,800,788,787,15,14,14,13
1572784229,759,793,792,788,13,12,12,12
1572784230,757,797,792,790,15,14,14,14
1572784231,762,794,789,784,14,14,15,14
1572784232,763,796,787,788,15,13,12,12
1572784233,758,790,792,788,15,15,15,15
1572784234,761,788,790,788,13,13,13,14
1572784235,760,799,795,789,14,13,14,15
1572784236,763,797,788,789,14,14,14,14
1572784237,753,795,789,788,15,14,13,13
1572784238,763,794,785,786,13,12,12,14
1572784239,766,801,788,788,13,13,13,13
1572784240,758,797,785,789,14,14,14,14
1572784241,752,796,788,788,15,14,13,13
1572784243,762,797,788,787,13,13,13,13
1572784244,759,789,786,788,12,13,13,13
1572784245,754,796,786,788,10,13,14,15
1572784246,760,797,789,788,13,14,14,15
1572784247,751,792,790,790,15,14,14,13
1572784248,761,796,790,788,13,13,13,13
1572784249,763,795,788,790,15,13,13,12
1572784250,760,792,789,788,13,13,14,14
1572784251,759,790,789,790,14,14,15,15
1572784252,756,788,787,788,14,14,15,15
1572784253,752,793,785,788,15,14,14,13
1572784254,762,788,788,788,15,14,14,13
1572784256,754,790,790,788,13,13,13,13
1572784257,751,787,790,788,12,13,14,14
1572784258,766,800,785,790,13,13,13,13
1572784259,761,799,784,788,15,14,13,12
1572784260,753,788,793,788,16,14,14,14
1572784261,756,794,788,789,15,14,13,13
1572784262,761,794,787,787,14,12,12,13
1572784263,753,794,783,789,14,13,13,12
1572784264,756,792,789,789,14,14,15,15
1572784265,759,788,790,789,14,15,14,14
1572784266,758,796,792,789,15,15,14,13
1572784267,761,796,790,789,13,13,13,14
1572784269,752,789,789,788,15,14,14,14
1572784270,762,797,785,788,15,14,14,14
1572784271,762,788,787,789,15,14,14,14
1572784272,752,796,788,789,15,14,13,12
1572784273,751,794,789,789,14,12,13,12
1572784274,757,800,789,790,12,13,13,15
1572784275,758,789,786,788,15,14,15,14
1572784276,759,794,786,789,15,14,14,14
1572784277,765,793,788,787,15,14,14,13
1572784278,753,798,789,790,13,13,13,13
1572784279,754,794,786,787,12,13,12,13
1572784280,751,787,789,789,13,12,12,13
1572784281,768,798,793,789,13,14,14,15
1572784283,761,800,785,790,15,14,12,13
1572784284,752,789,790,787,14,13,14,13
1572784285,760,794,786,792,16,14,15,14
1572784286,758,797,786,788,13,13,13,13
1572784287,764,792,782,790,13,13,13,14
1572784288,754,797,787,788,14,14,14,14
1572784289,752,797,787,785,14,14,15,14
1572784290,754,792,788,789,16,15,13,14
1572784291,752,796,785,788,13,12,12,13
1572784292,758,795,787,789,14,14,14,14
1572784293,766,795,786,790,12,14,14,14
1572784294,752,794,789,789,16,14,14,14
1572784296,756,798,793,789,14,14,14,13
1572784297,759,792,786,788,12,13,13,13
1572784298,756,788,785,789,13,12,12,13
1572784299,762,788,792,788,14,15,14,14
1572784300,761,789,790,789,12,13,13,14
1572784301,762,797,789,789,16,14,14,14
1572784302,752,796,790,790,13,13,13,13
1572784303,761,794,792,790,13,14,14,15
