TIMESTAMP,MOISTURE
1571637637,307
1571637638,312
1571637639,307
1571637640,313
1571637641,307
1571637643,302
1571637644,313
1571637645,309
1571637646,302
1571637647,314
1571637649,304
1571637650,302
1571637651,308
1571637652,314
1571637653,302
1571637655,302
1571637656,304
1571637657,308
1571637658,303
1571637659,308
1571637661,314
1571637662,302
1571637663,302
1571637664,313
1571637665,304
1571637666,302
1571637668,305
1571637669,314
1571637670,307
1571637671,305
1571637672,306
1571637674,304
1571637675,314
1571637676,312
1571637677,302
1571637678,307
1571637680,310
1571637681,306
1571637682,309
1571637683,304
1571637684,305
1571637686,310
1571637687,310
1571637688,302
1571637689,305
1571637690,306
1571637692,310
1571637693,304
1571637694,306
1571637695,304
1571637696,304
1571637698,305
1571637699,307
1571637700,305
1571637701,309
1571637702,314
1571637703,312
1571637705,303
1571637706,302
1571637707,313
1571637708,302
1571637709,303
1571637711,306
1571637712,305
1571637713,313
1571637714,310
1571637715,302
1571637717,314
1571637718,302
1571637719,310
1571637720,307
1571637721,303
1571637723,302
1571637724,305
1571637725,302
1571637726,313
1571637727,305
1571637729,303
1571637730,302
1571637731,302
1571637732,302
1571637733,303
1571637734,310
1571637736,305
1571637737,307
1571637738,302
1571637739,307
1571637740,308
1571637742,302
1571637743,313
1571637744,313
1571637745,302
1571637746,308
1571637748,306
1571637749,306
1571637750,304
1571637751,315
1571637752,303
1571637754,308
1571637755,304
1571637756,302
1571637757,302
1571637758,307
1571637760,314
1571637761,312
1571637762,304
1571637763,309
1571637764,312
1571637766,313
1571637767,314
1571637768,305
1571637769,308
1571637770,313
1571637772,303
1571637773,312
1571637774,303
1571637775,312
1571637776,306
1571637777,303
1571637779,302
1571637780,309
1571637781,307
1571637782,303
1571637783,305
1571637785,309
1571637786,310
1571637787,310
1571637788,310
1571637789,313
1571637791,302
1571637792,306
1571637793,307
1571637794,307
1571637795,310
1571637797,314
1571637798,304
1571637799,314
1571637800,314
1571637801,307
1571637803,310
1571637804,312
1571637805,303
1571637806,302
1571637807,310
1571637809,313
1571637810,313
1571637811,302
1571637812,305
1571637813,309
1571637815,313
1571637816,305
1571637817,302
1571637818,312
1571637819,312
1571637820,304
1571637822,308
1571637823,305
1571637824,303
1571637825,310
1571637826,313
1571637828,307
1571637829,302
1571637830,307
1571637831,306
1571637832,313
1571637834,303
1571637835,306
1571637836,307
1571637837,306
1571637838,302
1571637840,312
1571637841,303
1571637842,309
1571637843,302
1571637844,303
1571637846,302
1571637847,314
1571637848,313
1571637849,304
1571637850,313
1571637852,313
1571637853,309
